Ano e mês,Bairro/Rua,Data,Clima,Horário de Avaliação do Ponto,Périodo do dia,Direção,horas,minutos,bikes disponiveis para contratar
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0830 - 0845,AM peak (07:00-10:00),Northbound,21,30,4
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0845 - 0900,AM peak (07:00-10:00),Northbound,21,45,4
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1000 - 1015,Inter-peak (10:00-16:00),Southbound,11,0,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1015 - 1030,Inter-peak (10:00-16:00),Northbound,8,15,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1015 - 1030,Inter-peak (10:00-16:00),Southbound,11,15,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1030 - 1045,Inter-peak (10:00-16:00),Northbound,8,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1030 - 1045,Inter-peak (10:00-16:00),Southbound,11,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1045 - 1100,Inter-peak (10:00-16:00),Southbound,11,45,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1100 - 1115,Inter-peak (10:00-16:00),Southbound,11,0,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1115 - 1130,Inter-peak (10:00-16:00),Southbound,11,15,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1130 - 1145,Inter-peak (10:00-16:00),Southbound,11,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1145 - 1200,Inter-peak (10:00-16:00),Northbound,9,45,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1145 - 1200,Inter-peak (10:00-16:00),Southbound,11,45,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1200 - 1215,Inter-peak (10:00-16:00),Southbound,11,0,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1215 - 1230,Inter-peak (10:00-16:00),Southbound,11,15,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1230 - 1245,Inter-peak (10:00-16:00),Southbound,11,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1245 - 1300,Inter-peak (10:00-16:00),Southbound,11,45,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1300 - 1315,Inter-peak (10:00-16:00),Southbound,11,0,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1315 - 1330,Inter-peak (10:00-16:00),Northbound,9,15,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1315 - 1330,Inter-peak (10:00-16:00),Southbound,11,15,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1330 - 1345,Inter-peak (10:00-16:00),Northbound,9,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1330 - 1345,Inter-peak (10:00-16:00),Southbound,12,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1345 - 1400,Inter-peak (10:00-16:00),Northbound,9,45,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1345 - 1400,Inter-peak (10:00-16:00),Southbound,12,45,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1800 - 1815,PM peak (16:00-19:00),Northbound,9,0,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1800 - 1815,PM peak (16:00-19:00),Southbound,12,0,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1815 - 1830,PM peak (16:00-19:00),Southbound,13,15,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1830 - 1845,PM peak (16:00-19:00),Southbound,13,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1845 - 1900,PM peak (16:00-19:00),Northbound,9,45,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1845 - 1900,PM peak (16:00-19:00),Southbound,13,45,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1900 - 1915,Evening (19:00-22:00),Southbound,13,0,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1915 - 1930,Evening (19:00-22:00),Southbound,13,15,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1930 - 1945,Evening (19:00-22:00),Northbound,9,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1930 - 1945,Evening (19:00-22:00),Southbound,13,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1945 - 2000,Evening (19:00-22:00),Northbound,9,45,0
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1945 - 2000,Evening (19:00-22:00),Southbound,13,45,0
