Ano e mês,id,Bairro/Rua,Data,Clima,Horário de Avaliação do Ponto,Périodo do dia,Direção,horas,minutos,ignora 1,ignora 2,ignora 3
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2000 - 2015,Evening (19:00-22:00),Eastbound,20,0,10,0,10
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2015 - 2030,Evening (19:00-22:00),Eastbound,20,15,4,0,4
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2030 - 2045,Evening (19:00-22:00),Eastbound,20,30,6,2,8
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2045 - 2100,Evening (19:00-22:00),Eastbound,20,45,7,1,8
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2100 - 2115,Evening (19:00-22:00),Eastbound,21,0,9,0,9
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2115 - 2130,Evening (19:00-22:00),Eastbound,21,15,4,0,4
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2130 - 2145,Evening (19:00-22:00),Eastbound,21,30,4,0,4
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"sex., 23/02/18",Dry,2145 - 2200,Evening (19:00-22:00),Eastbound,21,45,4,0,4
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0600 - 0615,Early Morning (06:00-07:00),Westbound,6,0,4,0,4
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0615 - 0630,Early Morning (06:00-07:00),Westbound,6,15,6,1,7
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0630 - 0645,Early Morning (06:00-07:00),Westbound,6,30,9,0,9
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0645 - 0700,Early Morning (06:00-07:00),Westbound,6,45,9,1,10
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0700 - 0715,AM peak (07:00-10:00),Westbound,7,0,16,4,20
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0715 - 0730,AM peak (07:00-10:00),Westbound,7,15,10,3,13
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0730 - 0745,AM peak (07:00-10:00),Westbound,7,30,18,1,19
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0745 - 0800,AM peak (07:00-10:00),Westbound,7,45,20,0,20
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0800 - 0815,AM peak (07:00-10:00),Westbound,8,0,12,1,13
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0815 - 0830,AM peak (07:00-10:00),Westbound,8,15,19,2,21
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0830 - 0845,AM peak (07:00-10:00),Westbound,8,30,25,2,27
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0845 - 0900,AM peak (07:00-10:00),Westbound,8,45,31,2,33
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,0900 - 0915,AM peak (07:00-10:00),Westbound,9,0,23,4,27
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,0915 - 0930,AM peak (07:00-10:00),Westbound,9,15,19,5,24
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,0930 - 0945,AM peak (07:00-10:00),Westbound,9,30,12,1,13
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,0945 - 1000,AM peak (07:00-10:00),Westbound,9,45,16,3,19
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1000 - 1015,Inter-peak (10:00-16:00),Westbound,10,0,17,3,20
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1015 - 1030,Inter-peak (10:00-16:00),Westbound,10,15,10,6,16
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1030 - 1045,Inter-peak (10:00-16:00),Westbound,10,30,9,3,12
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1045 - 1100,Inter-peak (10:00-16:00),Westbound,10,45,14,2,16
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1100 - 1115,Inter-peak (10:00-16:00),Westbound,11,0,7,4,11
